City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,meadow lakes,61.6247,-149.6011,280.88,68,100,2.06,US,1683402908
1,edinburgh of the seven seas,-37.0676,-12.3116,288.81,73,100,6.65,SH,1683402909
2,burao,9.5221,45.5336,298.66,62,99,3.46,SO,1683402378
3,grytviken,-54.2811,-36.5092,277.45,87,100,6.7,GS,1683402911
4,riosucio,5.4216,-75.7032,297.32,64,98,0.81,CO,1683402896
5,barnstable,41.7001,-70.2995,297.05,26,0,4.63,US,1683402913
6,port-aux-francais,-49.35,70.2167,277.57,59,75,12.77,TF,1683402914
7,ushuaia,-54.8,-68.3,279.96,70,20,8.75,AR,1683402915
8,shillong,25.5689,91.8831,288.27,63,0,1.12,IN,1683402915
9,north bend,43.4065,-124.2243,288.84,72,100,8.23,US,1683402916
10,el abiodh sidi cheikh,32.893,0.5484,300.3,18,100,7.37,DZ,1683402916
11,whitehorse,60.7161,-135.0538,285.98,49,75,6.17,CA,1683402917
12,peniche,39.3558,-9.3811,291.54,87,54,4.71,PT,1683402918
13,manfalut,27.3104,30.97,298.29,32,0,4.28,EG,1683402671
14,yellowknife,62.456,-114.3525,291.44,36,0,9.26,CA,1683402919
15,hafnarfjordur,64.0671,-21.9377,285.08,66,75,3.09,IS,1683402920
16,lake monticello,37.9232,-78.3347,298.4,44,25,0.45,US,1683402920
17,blackmans bay,-43.0167,147.3167,276.33,87,25,2.92,AU,1683402926
18,pisco,-13.7,-76.2167,296.18,78,100,3.09,PE,1683402927
19,campbell river,50.0163,-125.2446,284.59,93,100,2.57,CA,1683402647
20,tlanalapa,19.8167,-98.6,299.46,20,51,4.49,MX,1683402928
21,sinop,41.7711,34.8709,283.48,80,100,0.22,TR,1683402928
22,vorkuta,67.5,64.0,260.84,98,98,2.98,RU,1683402929
23,qaqortoq,60.7167,-46.0333,276.14,77,72,2.12,GL,1683402929
24,azemmour,33.2895,-8.3425,291.54,87,15,4.52,MA,1683402930
25,hadibu,12.65,54.0333,301.61,80,0,1.75,YE,1683402931
26,zyryanskoye,56.8306,86.6258,283.26,93,73,2.96,RU,1683402931
27,acarau,-2.8856,-40.12,300.67,82,11,5.92,BR,1683402932
28,punta arenas,-53.15,-70.9167,282.21,61,20,8.75,CL,1683402809
29,bethel,41.3712,-73.414,296.28,37,0,3.09,US,1683402933
30,las heras,-46.5419,-68.9359,289.14,33,53,4.86,AR,1683402933
31,anadyr,64.75,177.4833,269.43,85,20,7.0,RU,1683402934
32,udachny,66.4167,112.4,266.18,67,88,7.1,RU,1683402934
33,adamstown,-25.066,-130.1015,295.29,80,100,3.82,PN,1683402935
34,tuy hoa,13.0833,109.3,299.69,89,100,2.2,VN,1683402936
35,ancud,-41.8697,-73.8203,285.13,94,100,3.02,CL,1683402936
36,cestos city,5.46,-9.5828,300.94,79,64,2.91,LR,1683402937
37,bilibino,68.0546,166.4372,268.67,94,100,1.11,RU,1683402938
38,east london,-33.0153,27.9116,292.0,77,97,4.94,ZA,1683402938
39,basco,20.4487,121.9702,300.92,85,26,7.79,PH,1683402939
40,katsuura,35.1333,140.3,293.61,86,100,13.35,JP,1683402940
41,stanley,54.868,-1.6985,286.77,88,75,1.54,GB,1683402940
42,archangelos,36.2149,28.1149,290.54,88,94,0.7,GR,1683402941
43,"laikit, laikit ii (dimembe)",1.4792,124.9735,295.62,100,40,1.03,ID,1683402941
44,thompson,55.7435,-97.8558,288.24,38,40,2.06,CA,1683402732
45,decorah,43.3033,-91.7857,291.66,88,100,5.66,US,1683402942
46,mishan,45.55,131.8833,279.84,42,1,1.15,CN,1683402943
47,les cayes,18.2,-73.75,302.79,53,16,5.29,HT,1683402943
48,hammerfest,70.6634,23.6821,276.4,70,100,2.57,NO,1683402944
49,vila franca do campo,37.7167,-25.4333,291.38,91,96,5.29,PT,1683402944
50,port mathurin,-19.6833,63.4167,299.33,71,32,8.6,MU,1683402945
51,griffith,41.5284,-87.4237,297.74,58,100,5.66,US,1683402946
52,salta,-24.7859,-65.4117,290.48,68,75,4.12,AR,1683402721
53,daru,-9.0763,143.2092,299.26,90,95,4.28,PG,1683402947
54,fort mcmurray,56.7268,-111.381,291.92,36,40,4.63,CA,1683402948
55,wailua homesteads,22.0669,-159.378,298.59,71,75,8.23,US,1683402949
56,west island,-12.1568,96.8225,300.14,94,100,2.06,CC,1683402949
57,shubarshi,48.5872,57.1869,287.84,28,95,0.84,KZ,1683402950
58,mokhotlong,-29.2894,29.0675,282.44,83,68,1.43,LS,1683402950
59,iqaluit,63.7506,-68.5145,273.0,69,40,12.35,CA,1683402951
60,nikolayevsk-on-amure,53.1406,140.73,273.73,87,90,1.21,RU,1683402951
61,jiangzi,28.95,89.6333,274.92,55,12,2.51,CN,1683402952
62,inhambane,-23.865,35.3833,296.14,83,20,1.54,MZ,1683402952
63,soeng sang,14.4264,102.4606,300.5,72,99,2.84,TH,1683402953
64,puerto natales,-51.7236,-72.4875,284.4,46,40,6.69,CL,1683402953
65,olyokminsk,60.3736,120.4264,275.41,89,100,5.2,RU,1683402954
66,invercargill,-46.4,168.35,281.49,95,20,1.34,NZ,1683402954
67,bredasdorp,-34.5322,20.0403,288.04,91,74,1.53,ZA,1683402955
68,luau,-10.7073,22.2247,293.39,68,2,0.84,AO,1683402956
69,waitangi,-43.9535,-176.5597,287.49,93,100,1.79,NZ,1683402956
70,labrador city,52.9463,-66.9114,288.1,33,40,7.2,CA,1683402957
71,linxia chengguanzhen,35.6003,103.2064,280.79,78,100,2.3,CN,1683402957
72,mandalgovi,45.7625,106.2708,278.68,28,100,2.29,MN,1683402958
73,magadan,59.5667,150.8,273.48,84,13,0.83,RU,1683402722
74,hithadhoo,-0.6,73.0833,301.49,76,100,8.21,MV,1683402959
75,metlili chaamba,32.2667,3.6333,307.67,10,75,4.12,DZ,1683402959
76,dongsheng,39.8161,109.9776,279.69,53,1,4.48,CN,1683402960
77,saipan,15.1355,145.701,300.54,100,100,6.69,MP,1683402961
78,tiksi,71.6872,128.8694,256.52,100,93,2.29,RU,1683402961
79,ilulissat,69.2167,-51.1,273.16,86,75,2.06,GL,1683402962
80,kruisfontein,-34.0033,24.7314,286.97,92,20,3.03,ZA,1683402963
81,vorgashor,67.5833,63.95,260.57,97,99,2.96,RU,1683402963
82,jamestown,42.097,-79.2353,295.66,36,0,0.0,US,1683402880
83,coxim,-18.5067,-54.76,302.91,60,96,0.28,BR,1683402964
84,margaret river,-33.95,115.0667,287.66,69,100,6.11,AU,1683402965
85,olonkinbyen,70.9221,-8.7187,272.36,97,100,4.62,SJ,1683402966
86,port alfred,-33.5906,26.891,288.81,92,47,1.34,ZA,1683402966
87,miquelon,47.0975,-56.3814,281.15,78,33,6.01,PM,1683402826
88,mount gambier,-37.8333,140.7667,280.09,79,100,2.18,AU,1683402968
89,longyearbyen,78.2186,15.6401,272.06,80,75,3.09,SJ,1683402968
90,hawaiian paradise park,19.5933,-154.9731,298.0,81,40,1.54,US,1683402969
91,tabou,4.423,-7.3528,300.13,83,27,3.64,CI,1683402969
92,college,64.8569,-147.8028,282.33,47,75,3.6,US,1683402970
93,nova sintra,14.8667,-24.7167,292.83,81,4,12.67,CV,1683402971
94,tres lagoas,-20.7511,-51.6783,301.34,61,70,2.38,BR,1683402915
95,tidjikja,18.5564,-11.4271,306.52,12,99,5.12,MR,1683402972
96,albany,42.6001,-73.9662,294.38,39,46,0.89,US,1683402755
97,wotho,10.1657,166.0102,300.51,81,95,8.78,MH,1683402973
98,san andres,12.5847,-81.7006,305.16,58,20,6.69,CO,1683402973
99,ornskoldsvik,63.2909,18.7153,275.68,87,40,1.54,SE,1683402974
100,holualoa,19.6228,-155.9522,298.58,80,20,3.6,US,1683402975
101,al bawiti,28.3492,28.8659,294.43,41,2,4.23,EG,1683402975
102,puerto ayora,-0.7393,-90.3518,304.13,93,97,4.02,EC,1683402855
103,arteche,12.2645,125.4048,298.5,90,21,2.03,PH,1683402981
104,utrik,11.2278,169.8474,300.34,78,97,7.83,MH,1683402982
105,tazacorte,28.629,-17.9293,294.9,83,40,8.23,ES,1683402982
106,usinsk,65.9939,57.5281,268.78,82,100,9.65,RU,1683402983
107,taltal,-25.4,-70.4833,290.71,70,4,3.06,CL,1683402984
108,aasiaat,68.7098,-52.8699,272.48,92,100,2.18,GL,1683402984
109,las khorey,11.1595,48.1967,304.22,68,99,0.57,SO,1683402985
110,badger,64.8,-147.5333,282.29,48,75,3.6,US,1683402986
111,isafjordur,66.0755,-23.124,279.68,89,100,2.43,IS,1683402986
112,nantucket,41.2835,-70.0995,295.23,48,0,6.69,US,1683402719
113,upington,-28.4478,21.2561,296.36,23,100,1.54,ZA,1683402987
114,sargur,11.9833,76.4167,293.87,90,100,2.32,IN,1683402988
115,freeport,40.6576,-73.5832,297.14,36,0,6.69,US,1683402989
116,tazovsky,67.4667,78.7,259.35,96,84,2.75,RU,1683402990
117,saint-benoit,-21.038,55.7194,297.59,82,17,5.24,RE,1683402990
118,bryne,58.7354,5.6477,284.14,56,17,7.0,NO,1683402991
119,carutapera,-1.195,-46.02,300.79,76,45,3.99,BR,1683402991
120,vilyuchinsk,52.9306,158.4028,275.3,80,24,3.39,RU,1683402992
121,ribeira brava,32.65,-17.0667,294.5,55,11,1.74,PT,1683402992
122,chulym,55.0997,80.9572,287.55,34,71,1.76,RU,1683402993
123,broken hill,-31.95,141.4333,278.83,77,3,5.4,AU,1683402993
124,kandyagash,49.4744,57.4233,287.19,30,95,1.62,KZ,1683402994
125,antalaha,-14.9003,50.2788,295.75,86,0,2.79,MG,1683402995
126,touros,-5.1989,-35.4608,300.34,73,26,6.26,BR,1683402995
127,san pedro pochutla,15.7333,-96.4667,307.99,53,62,4.06,MX,1683402996
128,new norfolk,-42.7826,147.0587,277.55,78,6,1.22,AU,1683402997
129,st. john's,47.5649,-52.7093,278.79,86,100,7.2,CA,1683402997
130,zambezi,-13.5432,23.1047,291.56,54,0,2.68,ZM,1683402998
131,ust-nera,64.5667,143.2,267.93,84,97,2.03,RU,1683402999
132,afaahiti,-17.75,-149.2833,302.08,80,60,8.35,PF,1683402999
133,kavaratti,10.5669,72.642,301.7,67,98,3.62,IN,1683403000
134,omachi,36.5,137.8667,291.34,98,100,0.39,JP,1683403001
135,karaton,-6.3424,106.1045,296.87,95,91,0.38,ID,1683403001
136,ortigueira,-24.2083,-50.9494,296.49,74,10,1.34,BR,1683403002
137,bukene,-4.2333,32.8833,292.94,74,84,2.27,TZ,1683403003
138,avarua,-21.2078,-159.775,301.18,89,20,2.06,CK,1683403004
139,jean-rabel,19.8533,-73.1917,302.01,68,26,4.35,HT,1683403004
140,kostomuksha,64.571,30.5767,267.32,97,68,1.7,RU,1683403005
141,georgetown,5.4112,100.3354,300.12,89,20,3.09,MY,1683402972
142,nova olimpia,-14.7972,-57.2881,300.31,73,94,0.67,BR,1683403006
143,dom pedro,-4.4833,-44.45,302.62,61,68,1.75,BR,1683403007
144,mapastepec,15.4333,-92.9,308.86,50,31,5.12,MX,1683403007
145,maintirano,-18.0667,44.0167,297.98,75,0,4.18,MG,1683403008
146,itoman,26.1247,127.6694,298.37,88,75,7.2,JP,1683403008
147,beloyarskiy,63.7119,66.6722,274.6,100,100,2.2,RU,1683403009
148,fale old settlement,-9.3852,-171.2468,302.1,77,9,6.36,TK,1683403010
149,nova vicosa,-17.8919,-39.3719,298.3,74,0,4.73,BR,1683403010
150,mcminnville,45.2101,-123.1987,290.16,66,75,2.06,US,1683403011
151,papatowai,-46.5619,169.4708,281.27,95,17,2.51,NZ,1683403011
152,valparaiso,-33.0393,-71.6273,290.37,67,75,3.09,CL,1683402807
153,santiago de cao,-7.9589,-79.2392,298.22,73,91,4.63,PE,1683403012
154,ribeira grande,38.5167,-28.7,291.37,94,75,10.73,PT,1683403013
155,flying fish cove,-10.4217,105.6791,299.97,89,75,4.12,CX,1683403013
156,luderitz,-26.6481,15.1594,286.11,87,0,3.48,,1683403014
157,akureyri,65.6835,-18.0878,282.11,76,20,5.66,IS,1683403014
158,petropavlovsk-kamchatsky,53.0452,158.6483,274.48,80,75,3.0,RU,1683402745
159,east ballina,-28.8667,153.5833,288.71,97,96,2.7,AU,1683403015
160,totness,5.8833,-56.3167,301.06,74,99,4.65,SR,1683403016
161,kapa'a,22.0752,-159.319,299.33,70,75,8.23,US,1683403017
162,les avirons,-21.2418,55.3394,295.58,83,75,0.0,RE,1683403017
163,constantia,44.1833,28.65,285.76,68,19,5.72,RO,1683403018
164,egilsstadir,65.2653,-14.3948,283.1,76,75,6.17,IS,1683403019
165,alaghsas,17.0187,8.0168,305.22,10,0,5.72,NE,1683403019
166,bannu,32.9854,70.6027,296.15,49,0,2.3,PK,1683403020
167,san patricio,28.017,-97.5169,304.3,62,100,8.41,US,1683403021
168,kharan,28.5833,65.4167,298.97,10,0,4.22,PK,1683403021
169,rio grande,-32.035,-52.0986,295.21,98,100,4.04,BR,1683403022
170,kodiak,57.79,-152.4072,278.88,81,100,2.06,US,1683403022
171,oume,35.7839,139.2431,295.74,62,40,5.66,JP,1683403023
172,hami,42.8,93.45,281.59,55,6,2.65,CN,1683403024
173,ugoofaaru,5.6667,73.0,302.12,74,100,7.37,MV,1683402799
174,balikpapan,-1.2675,116.8289,299.7,89,20,1.54,ID,1683403025
175,al kharijah,25.4514,30.5464,296.69,26,0,4.6,EG,1683403026
176,pailon,-17.65,-62.75,292.65,85,100,0.85,BO,1683403026
177,i-n-salah,27.1935,2.4607,308.21,7,100,4.43,DZ,1683403027
178,novyye lapsary,56.0685,47.2142,276.99,60,20,5.0,RU,1683403027
179,karaisali,37.2567,35.0589,286.8,88,88,0.35,TR,1683403028
180,vallo della lucania,40.2297,15.2658,286.79,94,1,1.17,IT,1683403029
181,craig,40.5153,-107.5464,285.94,35,75,4.63,US,1683402866
182,rabigh,22.7986,39.0349,301.32,51,72,3.0,SA,1683403030
183,iskateley,67.6803,53.1512,264.18,95,9,3.75,RU,1683403030
184,brooks,50.5834,-111.8851,289.14,45,100,7.2,CA,1683403031
185,howrah,22.5892,88.3103,303.15,79,20,4.63,IN,1683403031
186,sao jose da coroa grande,-8.8978,-35.1478,299.36,74,0,2.96,BR,1683403032
187,shalqar,47.8333,59.6,289.86,22,100,2.37,KZ,1683403032
188,gisborne,-38.6533,178.0042,287.5,92,100,1.94,NZ,1683403033
189,cabo san lucas,22.8909,-109.9124,300.1,59,70,0.45,MX,1683402808
190,palmer,42.1584,-72.3287,296.91,29,40,7.2,US,1683403034
191,lebu,-37.6167,-73.65,287.02,82,39,6.64,CL,1683403035
192,enewetak,11.3474,162.3373,300.49,82,93,8.19,MH,1683403035
193,ambovombe,-25.1667,46.0833,293.8,86,44,1.94,MG,1683403036
194,manggar,-2.8833,108.2667,300.94,79,98,2.95,ID,1683403037
195,baruun-urt,46.6806,113.2792,277.79,28,0,3.6,MN,1683403037
196,sao francisco,-15.9486,-44.8644,303.72,29,0,2.02,BR,1683403038
197,puerto armuelles,8.2833,-82.8667,306.14,63,100,4.52,PA,1683403038
198,vicuna,-30.0319,-70.7081,297.47,38,85,2.94,CL,1683403039
199,toliara,-23.35,43.6667,294.75,78,0,2.16,MG,1683402852
200,scituate,42.1959,-70.7259,298.23,29,0,1.22,US,1683403040
201,yatou,37.15,122.3833,284.77,68,100,4.47,CN,1683403041
202,nadym,65.5333,72.5167,271.47,88,100,5.0,RU,1683403042
203,es castell,39.8795,4.2854,292.53,82,0,5.14,ES,1683403042
204,newman,37.3138,-121.0208,291.64,61,96,3.58,US,1683403043
205,essaouira,31.5125,-9.77,294.87,64,0,8.23,MA,1683403044
206,tolanaro,-25.0319,46.9987,294.19,88,75,6.17,MG,1683403050
207,nishinoomote,30.7333,131.0,294.7,94,100,4.97,JP,1683403050
208,cuajinicuilapa,16.4667,-98.4167,309.6,38,9,6.05,MX,1683403051
209,keflavik,64.0049,-22.5624,285.1,87,75,2.06,IS,1683403052
210,severo-yeniseyskiy,60.3725,93.0408,270.27,99,96,1.57,RU,1683403053
211,mount pearl,47.5166,-52.7813,278.33,86,100,7.2,CA,1683403053
212,sao felix do xingu,-6.6447,-51.995,299.54,95,57,1.27,BR,1683403032
213,okhotsk,59.3833,143.3,275.3,79,10,1.27,RU,1683403054
214,battagram,34.6772,73.0233,287.36,85,89,2.92,PK,1683403055
215,klyuchi,52.2667,79.1667,288.12,31,2,3.67,RU,1683403055
216,alice springs,-23.7,133.8833,282.9,71,78,5.58,AU,1683403056
217,lloydminster,53.2835,-110.0016,287.27,41,75,8.23,CA,1683403056
218,atafu village,-8.5421,-172.5159,302.16,72,0,6.31,TK,1683403057
219,gorontalo,0.5412,123.0595,297.53,93,98,0.98,ID,1683403058
220,bubaque,11.2833,-15.8333,299.29,77,37,8.4,GW,1683403059
221,gaigeturi,33.4644,126.3183,288.18,94,75,10.29,KR,1683403059
222,bereket,39.2446,55.5154,292.32,50,0,1.91,TM,1683403060
223,mstsislaw,54.0192,31.7257,273.58,54,9,2.47,BY,1683403060
224,anna regina,7.2644,-58.5077,301.39,69,70,4.13,GY,1683403061
225,miri,4.4148,114.0089,299.23,94,40,1.54,MY,1683403061
226,sabac,44.7467,19.69,291.16,74,41,3.22,RS,1683403062
227,port elizabeth,-33.918,25.5701,290.31,90,20,5.14,ZA,1683403063
228,el porvenir,13.7617,-87.3458,307.78,15,84,5.52,HN,1683403063
229,arkhangel'sk,64.5401,40.5433,270.05,86,76,2.38,RU,1683403064
230,borzya,50.3833,116.5167,278.56,43,24,2.78,RU,1683403065
231,leava,-14.3,-178.1667,301.27,76,17,4.73,WF,1683403065
232,lata,40.1629,-8.3327,287.25,95,33,1.7,PT,1683403067
233,egersund,58.4513,5.9997,283.72,69,27,6.79,NO,1683403068
234,prado,-17.3411,-39.2208,298.03,76,0,4.32,BR,1683403068
235,saint-philippe,-21.3585,55.7679,296.92,79,40,5.31,RE,1683402989
236,morehead city,34.7229,-76.726,296.15,61,0,5.14,US,1683403048
237,abepura,-2.6333,140.5833,298.6,89,20,0.0,ID,1683403070
238,quellon,-43.1167,-73.6167,285.29,87,100,5.14,CL,1683403071
239,hagere hiywet,8.9833,37.85,288.67,82,99,1.42,ET,1683403071
240,lethbridge,49.7,-112.8186,282.42,87,100,4.12,CA,1683402977
241,dzhalagash,45.0833,64.6667,291.06,37,42,2.5,KZ,1683403073
242,amungan,15.3652,119.9582,300.45,79,8,2.32,PH,1683403073
243,san diego de alejandria,20.9833,-101.9833,302.34,11,3,1.93,MX,1683403074
244,katabu,-4.9333,122.5167,297.22,93,72,1.05,ID,1683403074
245,shakawe,-18.3667,21.85,293.35,34,0,2.26,BW,1683403075
246,zhaotong,27.3167,103.7167,285.62,84,100,2.81,CN,1683403075
247,yanchep,-31.55,115.6833,289.22,71,100,7.98,AU,1683403076
248,mukalla,14.5425,49.1242,303.73,63,40,0.79,YE,1683403077
249,tumayr,25.7039,45.868,305.01,17,82,5.54,SA,1683403077
250,susuman,62.7833,148.1667,267.44,83,27,0.59,RU,1683403078
251,kingston,17.997,-76.7936,303.84,75,20,10.8,JM,1683402841
252,agrestina,-8.4581,-35.9447,297.34,71,11,4.0,BR,1683403079
253,mount isa,-20.7333,139.5,292.02,32,99,6.69,AU,1683403079
254,naze,28.3667,129.4833,294.66,92,100,5.52,JP,1683403080
255,chifeng,42.2683,118.9636,281.81,35,1,3.82,CN,1683403081
256,midvagur,62.0511,-7.1939,281.61,93,100,7.2,FO,1683403081
257,lycksele,64.5954,18.6735,278.08,56,78,1.54,SE,1683403082
258,porto,41.1496,-8.611,290.62,85,20,3.6,PT,1683402810
259,boa vista,2.8197,-60.6733,303.14,62,75,0.51,BR,1683402824
260,pechora,65.1472,57.2244,270.73,91,100,6.8,RU,1683403083
261,port blair,11.6667,92.75,301.75,77,49,3.57,IN,1683403084
262,polyarnyy,69.1989,33.4478,270.72,92,32,1.98,RU,1683403084
263,brookings,44.3114,-96.7984,295.07,64,100,3.6,US,1683403085
264,vadso,70.0744,29.7487,277.64,80,51,1.54,NO,1683403086
265,ta`u,-14.2336,-169.5144,300.98,73,4,4.8,AS,1683403086
266,remire-montjoly,4.9167,-52.2667,302.17,70,40,6.17,GF,1683403087
267,kapuskasing,49.4169,-82.4331,291.2,34,75,3.6,CA,1683403087
268,fort bragg,35.139,-79.006,300.48,37,75,3.09,US,1683403088
269,puerto baquerizo moreno,-0.9,-89.6,299.7,94,75,4.12,EC,1683403089
270,coalinga,36.1397,-120.3602,290.32,46,100,0.7,US,1683403089
271,chonchi,-42.6128,-73.8092,286.71,91,99,1.87,CL,1683403090
272,hermanus,-34.4187,19.2345,288.6,88,98,3.37,ZA,1683403090
273,broome,42.2506,-75.833,292.98,43,100,0.89,US,1683403091
274,gubkinskiy,64.434,76.5026,274.19,96,100,2.76,RU,1683403091
275,koryazhma,61.3143,47.1691,273.04,97,100,4.56,RU,1683403092
276,zaysan,47.4667,84.8667,281.45,38,63,2.9,KZ,1683403093
277,sitka,57.0531,-135.33,282.09,61,75,3.09,US,1683403093
278,banda aceh,5.5577,95.3222,299.28,86,100,5.18,ID,1683403094
279,nogliki,51.8333,143.1667,273.65,77,100,2.94,RU,1683403095
280,puerto maldonado,-12.6,-69.1833,301.37,74,75,1.54,PE,1683403095
281,najran,17.4924,44.1277,302.51,25,100,4.87,SA,1683403096
282,new plymouth,-39.0667,174.0833,289.57,100,100,4.46,NZ,1683402846
283,marsh harbour,26.5412,-77.0636,297.36,76,44,8.48,BS,1683403098
284,xinglongshan,43.9561,125.4661,276.01,65,0,1.0,CN,1683403099
285,berdigestyakh,62.0989,126.6992,274.75,100,100,3.25,RU,1683403099
286,illizi,26.4833,8.4667,305.04,11,100,4.24,DZ,1683403100
287,messaad,34.1543,3.5031,297.65,29,100,7.52,DZ,1683403100
288,talnakh,69.4865,88.3972,254.46,98,81,1.0,RU,1683403101
289,smithers,54.7804,-127.1743,284.33,76,100,3.6,CA,1683403077
290,yakeshi,49.2833,120.7333,276.02,51,4,2.21,CN,1683403102
291,lihue,21.9789,-159.3672,298.92,70,75,8.23,US,1683403055
292,guerrero negro,27.9769,-114.0611,292.26,54,8,8.51,MX,1683403103
293,boende,-0.2167,20.8667,296.13,97,81,1.34,CD,1683403104
294,greenville,35.6127,-77.3663,298.24,40,0,2.24,US,1683402851
295,aktobe,50.2797,57.2072,285.2,43,40,3.0,KZ,1683403105
296,alva,56.1528,-3.8051,285.0,87,100,2.67,GB,1683403106
297,pacocha,-17.5833,-71.3333,295.23,78,40,5.66,PE,1683403106
298,cuatro cienegas de carranza,26.9833,-102.0833,310.6,9,67,2.93,MX,1683403107
299,jamaame,0.0697,42.745,299.68,79,1,3.37,SO,1683403108
300,long beach,33.767,-118.1892,295.84,66,0,4.63,US,1683403094
301,igoumenitsa,39.5039,20.2656,290.96,65,99,1.36,GR,1683403109
302,ciudad melchor muzquiz,27.8833,-101.5167,310.06,21,98,5.82,MX,1683403109
303,khuzdar,27.7384,66.6434,296.35,20,0,3.09,PK,1683403110
